               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.037125,            0.018911,           0.0055159,                   0,                   0,                   0,                   0,                   0,           0.0040375,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.030784,            0.017607,           0.0052025,                   0,                   0,                   0,                   0,                   0,            0.003871,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.039091,            0.022788,           0.0056202,                   0,                   0,                   0,                   0,                   0,           0.0042586,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.038443,            0.021955,            0.006791,                   0,                   0,                   0,                   0,                   0,           0.0038669,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.039599,            0.021963,           0.0069071,                   0,                   0,                   0,                   0,                   0,           0.0038669,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.035203,             0.01979,           0.0089274,                   0,                   0,                   0,                   0,                   0,           0.0037227,                   0,            0.005116,            0.005116,            0.005116
                 150,              0.0334,            0.026227,           0.0096141,                   0,                   0,                   0,                   0,                   0,           0.0037802,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.035521,            0.020332,            0.007198,                   0,                   0,                   0,                   0,                   0,            0.004194,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.031101,            0.020105,           0.0064427,                   0,                   0,                   0,                   0,                   0,            0.004194,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.034399,              0.0221,           0.0079514,                   0,                   0,                   0,                   0,                   0,           0.0043573,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.033378,            0.018219,            0.010914,                   0,                   0,                   0,                   0,                   0,           0.0047803,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.040737,            0.021275,             0.01153,                   0,                   0,                   0,                   0,                   0,           0.0047263,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.037113,            0.018099,           0.0042415,                   0,                   0,                   0,                   0,                   0,           0.0047263,                   0,            0.004885,            0.004885,            0.004885
